id,strategy,seed_prompt
seed-0030,single_entity,entity:de-magica-overview|label:Magica: Das KI-Kommandozentrum|niche:apex|type:article
seed-0031,cross_locale,locale:de|niche:apex|sample:de-magica-quickstart|query:find articles in de about apex
seed-0032,single_entity,entity:product-lighthouse-overview|label:Lighthouse Overview|niche:apex|type:product
seed-0033,graph_traversal,traversal:Tencent Cloud Deal Stack para Creadores → Builders → Tencent Cloud Deal Stack for Builders|hops:3|nodes:3
seed-0034,entity_pair,relation:related_to|src:ビルダーのためのTencent Cloudディールスタック|dst:Tencent Cloud Promotions
seed-0035,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack pour Builders|dst:Tencent Cloud Deal Stack für Entwickler
seed-0036,entity_pair,relation:related_to|src:Magica 入門|dst:Magica Free Trial
seed-0037,cross_locale,locale:ja|niche:apex|sample:ja-magica-mcp-server|query:find articles in ja about apex
seed-0038,single_entity,entity:de-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0039,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0040,single_entity,entity:de-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack für Entwickler|niche:apex|type:article
seed-0041,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0042,entity_pair,relation:related_to|src:Primeiros Passos com Magica|dst:Magica 快速入门
seed-0043,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0044,single_entity,entity:it-magica-mcp-server|label:Costruire Server MCP con Magica|niche:apex|type:article
seed-0045,entity_pair,relation:related_to|src:Primeros Pasos con Magica|dst:Tencent Cloud Deal Stack para Creadores
seed-0046,single_entity,entity:en-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0047,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0048,entity_pair,relation:related_to|src:Construyendo Servidores MCP con Magica|dst:Costruire Server MCP con Magica
seed-0049,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0050,single_entity,entity:en-magica-quickstart|label:Getting Started with Magica|niche:apex|type:article
seed-0051,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0052,single_entity,entity:pt-magica-overview|label:Magica: O Centro de Comando de IA|niche:apex|type:article
seed-0053,single_entity,entity:category-builders|label:Builders|niche:apex|type:category
seed-0054,entity_pair,relation:related_to|src:Construyendo Servidores MCP con Magica|dst:Magica
seed-0055,cross_locale,locale:ja|niche:apex|sample:ja-magica-mcp-server|query:find articles in ja about apex
seed-0056,cross_locale,locale:pt|niche:apex|sample:pt-magica-overview|query:find articles in pt about apex
seed-0057,cross_locale,locale:pt|niche:apex|sample:pt-magica-overview|query:find articles in pt about apex
seed-0058,entity_pair,relation:related_to|src:Primi Passi con Magica|dst:Magica 入門
seed-0059,single_entity,entity:category-development|label:Development|niche:apex|type:category
seed-0060,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0061,graph_traversal,traversal:Tencent Cloud Deal Stack for Builders → Tencent Cloud Deal Stack: Cloud Barata para Builders → Tencent Cloud → ビルダーのためのTencent Cloudディールスタック|hops:4|nodes:4
seed-0062,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0063,cross_locale,locale:ja|niche:apex|sample:ja-magica-quickstart|query:find articles in ja about apex
seed-0064,cross_locale,locale:ja|niche:apex|sample:ja-cnt_tecent_vm_benefits_2026_05|query:find articles in ja about apex
seed-0065,entity_pair,relation:related_to|src:使用Magica构建MCP服务器|dst:Magica Official Site
seed-0066,entity_pair,relation:related_to|src:Magica: O Centro de Comando de IA|dst:Magica
seed-0067,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0068,single_entity,entity:category-cloud|label:Cloud|niche:apex|type:category
seed-0069,entity_pair,relation:related_to|src:MagicaでMCPサーバーを構築する|dst:Magica
seed-0070,cross_locale,locale:de|niche:apex|sample:de-cnt_tecent_vm_benefits_2026_05|query:find articles in de about apex
seed-0071,cross_locale,locale:pt|niche:apex|sample:pt-tencent-cloud-deal-stack-builders|query:find articles in pt about apex
seed-0072,cross_locale,locale:zh|niche:apex|sample:zh-tencent-cloud-deal-stack-builders|query:find articles in zh about apex
seed-0073,graph_traversal,traversal:Construyendo Servidores MCP con Magica → Costruire Server MCP con Magica → 使用Magica构建MCP服务器 → Tencent Cloud Deal Stack for Builders|hops:4|nodes:4
seed-0074,cross_locale,locale:fr|niche:apex|sample:fr-tencent-cloud-deal-stack-builders|query:find articles in fr about apex
seed-0075,cross_locale,locale:es|niche:apex|sample:es-magica-mcp-server|query:find articles in es about apex
seed-0076,single_entity,entity:zh-tencent-cloud-deal-stack-builders|label:面向开发者的腾讯云交易堆栈|niche:apex|type:article
seed-0077,single_entity,entity:product-magica-free-trial|label:Magica Free Trial|niche:apex|type:product
seed-0078,entity_pair,relation:related_to|src:Primeros Pasos con Magica|dst:Magica
seed-0079,single_entity,entity:zh-magica-overview|label:Magica：AI指挥中心|niche:apex|type:article
seed-0080,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0081,single_entity,entity:product-magica-free-trial|label:Magica Free Trial|niche:apex|type:product
seed-0082,single_entity,entity:fr-magica-quickstart|label:Premiers Pas avec Magica|niche:apex|type:article
seed-0083,graph_traversal,traversal:Tencent Cloud Deal Stack para Creadores → Tencent Cloud Deal Stack para Creadores → Tencent Cloud Free Tier → Tencent Cloud Deal Stack pour Builders|hops:4|nodes:4
seed-0084,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack for Builders|dst:Tencent Cloud
seed-0085,entity_pair,relation:related_to|src:Getting Started with Magica|dst:Magica 入門
seed-0086,single_entity,entity:pt-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack: Cloud Barata para Builders|niche:apex|type:article
seed-0087,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0088,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack: Cloud Barata para Builders|dst:Tencent Cloud Deal Stack for Builders
seed-0089,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0090,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack: Cloud Barata para Builders|dst:Tencent Cloud Deal Stack para Creadores
seed-0091,cross_locale,locale:zh|niche:apex|sample:zh-magica-quickstart|query:find articles in zh about apex
seed-0092,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0093,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0094,entity_pair,relation:related_to|src:Magica: O Centro de Comando de IA|dst:Magica Free Trial
seed-0095,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0096,entity_pair,relation:related_to|src:Construire des Serveurs MCP avec Magica|dst:MCP
seed-0097,single_entity,entity:de-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack für Entwickler|niche:apex|type:article
seed-0098,single_entity,entity:es-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack para Creadores|niche:apex|type:article
seed-0099,cross_locale,locale:zh|niche:apex|sample:zh-magica-overview|query:find articles in zh about apex
seed-0100,single_entity,entity:de-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0101,entity_pair,relation:related_to|src:Primi Passi con Magica|dst:Costruire Server MCP con Magica
seed-0102,cross_locale,locale:de|niche:apex|sample:de-magica-overview|query:find articles in de about apex
seed-0103,entity_pair,relation:related_to|src:Magica: Le Centre de Commandement IA|dst:Magica Official Site
seed-0104,cross_locale,locale:ja|niche:apex|sample:ja-magica-mcp-server|query:find articles in ja about apex
seed-0105,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0106,single_entity,entity:category-tutorial|label:Tutorial|niche:apex|type:category
seed-0107,cross_locale,locale:ja|niche:apex|sample:ja-cnt_tecent_vm_benefits_2026_05|query:find articles in ja about apex
seed-0108,graph_traversal,traversal:Tencent Cloud → ビルダーのためのTencent Cloudディールスタック → MagicaでMCPサーバーを構築する|hops:3|nodes:3
seed-0109,graph_traversal,traversal:Api → 使用Magica构建MCP服务器 → Construyendo Servidores MCP con Magica|hops:3|nodes:3
seed-0110,single_entity,entity:category-tencent-cloud|label:Tencent Cloud|niche:apex|type:category
seed-0111,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack für Entwickler|dst:Cloud
seed-0112,cross_locale,locale:es|niche:apex|sample:es-magica-mcp-server|query:find articles in es about apex
seed-0113,single_entity,entity:zh-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0114,single_entity,entity:en-magica-mcp-server|label:Building MCP Servers with Magica|niche:apex|type:article
seed-0115,single_entity,entity:es-magica-overview|label:Magica: El Centro de Comando de IA|niche:apex|type:article
seed-0116,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0117,cross_locale,locale:es|niche:apex|sample:es-magica-quickstart|query:find articles in es about apex
seed-0118,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack: Cloud Barata para Builders|dst:Tencent Cloud Free Tier
seed-0119,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack for Builders|dst:Tencent Cloud Deal Stack for Builders
seed-0120,single_entity,entity:zh-tencent-cloud-deal-stack-builders|label:面向开发者的腾讯云交易堆栈|niche:apex|type:article
seed-0121,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0122,single_entity,entity:fr-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0123,cross_locale,locale:fr|niche:apex|sample:fr-cnt_tecent_vm_benefits_2026_05|query:find articles in fr about apex
seed-0124,graph_traversal,traversal:Tencent Cloud Deal Stack for Builders → Costruire Server MCP con Magica → 使用Magica构建MCP服务器 → Magica|hops:4|nodes:4
seed-0125,single_entity,entity:de-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0126,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0127,cross_locale,locale:it|niche:apex|sample:it-cnt_tecent_vm_benefits_2026_05|query:find articles in it about apex
seed-0128,single_entity,entity:de-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack für Entwickler|niche:apex|type:article
seed-0129,single_entity,entity:fr-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0130,cross_locale,locale:ja|niche:apex|sample:ja-cnt_tecent_vm_benefits_2026_05|query:find articles in ja about apex
seed-0131,graph_traversal,traversal:Tencent Cloud Free Tier → Tencent Cloud Deal Stack pour Builders → Premiers Pas avec Magica|hops:3|nodes:3
seed-0132,cross_locale,locale:es|niche:apex|sample:es-cnt_tecent_vm_benefits_2026_05|query:find articles in es about apex
seed-0133,cross_locale,locale:it|niche:apex|sample:it-magica-mcp-server|query:find articles in it about apex
seed-0134,cross_locale,locale:it|niche:apex|sample:it-magica-mcp-server|query:find articles in it about apex
seed-0135,cross_locale,locale:es|niche:apex|sample:es-cnt_tecent_vm_benefits_2026_05|query:find articles in es about apex
seed-0136,cross_locale,locale:es|niche:apex|sample:es-magica-overview|query:find articles in es about apex
seed-0137,single_entity,entity:en-magica-quickstart|label:Getting Started with Magica|niche:apex|type:article
seed-0138,entity_pair,relation:related_to|src:MCP-Server mit Magica erstellen|dst:Api
seed-0139,single_entity,entity:it-magica-overview|label:Magica: Il Centro di Comando AI|niche:apex|type:article
seed-0140,entity_pair,relation:related_to|src:Construindo Servidores MCP com Magica|dst:Magica
seed-0141,single_entity,entity:it-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0142,single_entity,entity:en-magica-mcp-server|label:Building MCP Servers with Magica|niche:apex|type:article
seed-0143,single_entity,entity:pt-magica-mcp-server|label:Construindo Servidores MCP com Magica|niche:apex|type:article
seed-0144,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0145,entity_pair,relation:related_to|src:Construire des Serveurs MCP avec Magica|dst:Development
seed-0146,entity_pair,relation:related_to|src:Magica: The AI Command Center|dst:Magica
seed-0147,graph_traversal,traversal:Building MCP Servers with Magica → Construire des Serveurs MCP avec Magica → Magica → Construyendo Servidores MCP con Magica|hops:4|nodes:4
seed-0148,single_entity,entity:product-magica-free-trial|label:Magica Free Trial|niche:apex|type:product
seed-0149,entity_pair,relation:related_to|src:Magica: AIコマンドセンター|dst:Magica
seed-0150,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0151,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0152,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack for Builders|dst:Tencent Cloud Deal Stack for Builders
seed-0153,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0154,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0155,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0156,cross_locale,locale:it|niche:apex|sample:it-magica-mcp-server|query:find articles in it about apex
seed-0157,graph_traversal,traversal:Builders → Tencent Cloud Deal Stack for Builders → Tencent Cloud Deal Stack: Cloud Barata para Builders → Construindo Servidores MCP com Magica|hops:4|nodes:4
seed-0158,cross_locale,locale:pt|niche:apex|sample:pt-tencent-cloud-deal-stack-builders|query:find articles in pt about apex
seed-0159,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0160,single_entity,entity:it-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack per Creator|niche:apex|type:article
seed-0161,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0162,entity_pair,relation:related_to|src:Construyendo Servidores MCP con Magica|dst:MagicaでMCPサーバーを構築する
seed-0163,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0164,single_entity,entity:product-tencent-cloud-promotions|label:Tencent Cloud Promotions|niche:apex|type:product
seed-0165,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0166,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0167,single_entity,entity:it-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack per Creator|niche:apex|type:article
seed-0168,cross_locale,locale:it|niche:apex|sample:it-magica-quickstart|query:find articles in it about apex
seed-0169,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack für Entwickler|dst:Cloud
seed-0170,graph_traversal,traversal:Tencent Cloud Free Tier → Tencent Cloud Deal Stack pour Builders → Tencent Cloud → ビルダーのためのTencent Cloudディールスタック|hops:4|nodes:4
seed-0171,graph_traversal,traversal:Development → 使用Magica构建MCP服务器 → MCP-Server mit Magica erstellen|hops:3|nodes:3
seed-0172,single_entity,entity:ja-magica-overview|label:Magica: AIコマンドセンター|niche:apex|type:article
seed-0173,single_entity,entity:category-magica|label:Magica|niche:apex|type:category
seed-0174,cross_locale,locale:zh|niche:apex|sample:zh-tencent-cloud-deal-stack-builders|query:find articles in zh about apex
seed-0175,cross_locale,locale:it|niche:apex|sample:it-cnt_tecent_vm_benefits_2026_05|query:find articles in it about apex
seed-0176,single_entity,entity:product-magica-free-trial|label:Magica Free Trial|niche:apex|type:product
seed-0177,single_entity,entity:category-infrastructure|label:Infrastructure|niche:apex|type:category
seed-0178,single_entity,entity:es-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack para Creadores|niche:apex|type:article
seed-0179,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0180,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack: Cloud Barata para Builders|dst:Tencent Cloud Deal Stack for Builders
seed-0181,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0182,cross_locale,locale:zh|niche:apex|sample:zh-cnt_tecent_vm_benefits_2026_05|query:find articles in zh about apex
seed-0183,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0184,single_entity,entity:it-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0185,graph_traversal,traversal:EdgeOne Overview → Tencent Cloud Deal Stack para Creadores → Cloud → Tencent Cloud Deal Stack for Builders|hops:4|nodes:4
seed-0186,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack para Creadores|dst:Tencent Cloud Promotions
seed-0187,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0188,entity_pair,relation:related_to|src:Primeiros Passos com Magica|dst:Tencent Cloud Deal Stack: Cloud Barata para Builders
seed-0189,graph_traversal,traversal:CVM Overview → Tencent Cloud Deal Stack: Cloud Barata para Builders → Magica: O Centro de Comando de IA → Magica Official Site|hops:4|nodes:4
seed-0190,cross_locale,locale:ja|niche:apex|sample:ja-tencent-cloud-deal-stack-builders|query:find articles in ja about apex
seed-0191,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0192,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0193,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0194,graph_traversal,traversal:Tencent Cloud Deal Stack para Creadores → Tencent Cloud → Tencent Cloud Deal Stack: Cloud Barata para Builders|hops:3|nodes:3
seed-0195,cross_locale,locale:ja|niche:apex|sample:ja-magica-overview|query:find articles in ja about apex
seed-0196,single_entity,entity:zh-magica-mcp-server|label:使用Magica构建MCP服务器|niche:apex|type:article
seed-0197,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0198,cross_locale,locale:ja|niche:apex|sample:ja-tencent-cloud-deal-stack-builders|query:find articles in ja about apex
seed-0199,graph_traversal,traversal:Building MCP Servers with Magica → Tencent Cloud Deal Stack for Builders → Builders|hops:3|nodes:3
seed-0200,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0201,cross_locale,locale:es|niche:apex|sample:es-magica-mcp-server|query:find articles in es about apex
seed-0202,single_entity,entity:en-magica-mcp-server|label:Building MCP Servers with Magica|niche:apex|type:article
seed-0203,single_entity,entity:ja-magica-overview|label:Magica: AIコマンドセンター|niche:apex|type:article
seed-0204,single_entity,entity:category-productivity|label:Productivity|niche:apex|type:category
seed-0205,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0206,single_entity,entity:brand-magica|label:Magica|niche:apex|type:brand
seed-0207,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack for Builders|dst:Tencent Cloud Deal Stack para Creadores
seed-0208,cross_locale,locale:fr|niche:apex|sample:fr-magica-overview|query:find articles in fr about apex
seed-0209,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0210,single_entity,entity:category-infrastructure|label:Infrastructure|niche:apex|type:category
seed-0211,single_entity,entity:es-magica-overview|label:Magica: El Centro de Comando de IA|niche:apex|type:article
seed-0212,cross_locale,locale:fr|niche:apex|sample:fr-magica-mcp-server|query:find articles in fr about apex
seed-0213,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0214,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0215,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0216,graph_traversal,traversal:Magica：AI指挥中心 → 使用Magica构建MCP服务器 → Magica → Erste Schritte mit Magica|hops:4|nodes:4
seed-0217,cross_locale,locale:pt|niche:apex|sample:pt-magica-overview|query:find articles in pt about apex
seed-0218,entity_pair,relation:related_to|src:Erste Schritte mit Magica|dst:Magica
seed-0219,single_entity,entity:de-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack für Entwickler|niche:apex|type:article
seed-0220,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0221,graph_traversal,traversal:MagicaでMCPサーバーを構築する → 使用Magica构建MCP服务器 → MCP|hops:3|nodes:3
seed-0222,entity_pair,relation:related_to|src:Magica: El Centro de Comando de IA|dst:Multi Model
seed-0223,cross_locale,locale:zh|niche:apex|sample:zh-magica-quickstart|query:find articles in zh about apex
seed-0224,cross_locale,locale:fr|niche:apex|sample:fr-tencent-cloud-deal-stack-builders|query:find articles in fr about apex
seed-0225,cross_locale,locale:es|niche:apex|sample:es-magica-mcp-server|query:find articles in es about apex
seed-0226,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack for Builders|dst:Tencent Cloud Deal Stack: Cloud Barata para Builders
seed-0227,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0228,single_entity,entity:category-magica|label:Magica|niche:apex|type:category
seed-0229,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack for Builders|dst:Builders
seed-0230,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0231,cross_locale,locale:de|niche:apex|sample:de-cnt_tecent_vm_benefits_2026_05|query:find articles in de about apex
seed-0232,single_entity,entity:product-tencent-cloud-promotions|label:Tencent Cloud Promotions|niche:apex|type:product
seed-0233,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0234,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0235,cross_locale,locale:fr|niche:apex|sample:fr-tencent-cloud-deal-stack-builders|query:find articles in fr about apex
seed-0236,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack for Builders|dst:Tencent Cloud Deal Stack para Creadores
seed-0237,cross_locale,locale:pt|niche:apex|sample:pt-magica-quickstart|query:find articles in pt about apex
seed-0238,entity_pair,relation:related_to|src:Getting Started with Magica|dst:Tencent Cloud Deal Stack for Builders
seed-0239,graph_traversal,traversal:Costruire Server MCP con Magica → 使用Magica构建MCP服务器 → Magica：AI指挥中心|hops:3|nodes:3
seed-0240,cross_locale,locale:de|niche:apex|sample:de-magica-quickstart|query:find articles in de about apex
seed-0241,single_entity,entity:category-magica|label:Magica|niche:apex|type:category
seed-0242,single_entity,entity:brand-tencent-cloud|label:Tencent Cloud|niche:apex|type:brand
seed-0243,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0244,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0245,entity_pair,relation:related_to|src:Construyendo Servidores MCP con Magica|dst:Magica Official Site
seed-0246,entity_pair,relation:related_to|src:Magica: AIコマンドセンター|dst:Magica 入門
seed-0247,entity_pair,relation:related_to|src:Construyendo Servidores MCP con Magica|dst:Api
seed-0248,single_entity,entity:product-lighthouse-overview|label:Lighthouse Overview|niche:apex|type:product
seed-0249,graph_traversal,traversal:Quickstart → Primeiros Passos com Magica → Tencent Cloud Deal Stack: Cloud Barata para Builders → Tencent Cloud Deal Stack for Builders|hops:4|nodes:4
seed-0250,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0251,single_entity,entity:product-lighthouse-overview|label:Lighthouse Overview|niche:apex|type:product
seed-0252,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0253,single_entity,entity:pt-magica-quickstart|label:Primeiros Passos com Magica|niche:apex|type:article
seed-0254,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack para Creadores|dst:Tencent Cloud Deal Stack for Builders
seed-0255,single_entity,entity:fr-magica-overview|label:Magica: Le Centre de Commandement IA|niche:apex|type:article
seed-0256,single_entity,entity:category-api|label:Api|niche:apex|type:category
seed-0257,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0258,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0259,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack para Creadores|dst:ビルダーのためのTencent Cloudディールスタック
seed-0260,entity_pair,relation:related_to|src:Construyendo Servidores MCP con Magica|dst:MCP-Server mit Magica erstellen
seed-0261,entity_pair,relation:related_to|src:Construire des Serveurs MCP avec Magica|dst:使用Magica构建MCP服务器
seed-0262,single_entity,entity:pt-magica-mcp-server|label:Construindo Servidores MCP com Magica|niche:apex|type:article
seed-0263,cross_locale,locale:pt|niche:apex|sample:pt-cnt_tecent_vm_benefits_2026_05|query:find articles in pt about apex
seed-0264,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0265,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0266,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0267,single_entity,entity:category-magica|label:Magica|niche:apex|type:category
seed-0268,entity_pair,relation:related_to|src:Primeros Pasos con Magica|dst:Ai Workflows
seed-0269,cross_locale,locale:it|niche:apex|sample:it-magica-overview|query:find articles in it about apex
seed-0270,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0271,single_entity,entity:zh-tencent-cloud-deal-stack-builders|label:面向开发者的腾讯云交易堆栈|niche:apex|type:article
seed-0272,single_entity,entity:it-cnt_tecent_vm_benefits_2026_05|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0273,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack: Cloud Barata para Builders|dst:Tencent Cloud
seed-0274,graph_traversal,traversal:Magica 入門 → Ai Workflows → Erste Schritte mit Magica → Primi Passi con Magica|hops:4|nodes:4
seed-0275,niche_summary,niche:apex|count:0|summary:overview of apex signals
seed-0276,single_entity,entity:pt-magica-quickstart|label:Primeiros Passos com Magica|niche:apex|type:article
seed-0277,single_entity,entity:en-tencent-cloud-deal-stack-builders|label:Tencent Cloud Deal Stack for Builders|niche:apex|type:article
seed-0278,entity_pair,relation:related_to|src:Tencent Cloud Deal Stack für Entwickler|dst:Tencent Cloud
